package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.shopl.sdg.component.check_option.SDGCheckLinePreView,SDGCheckLinePreView,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.checkbox.SDGCheckBox,SDGCheckBox,1,1,1,0,0,0,0,0,2,2,
com.shopl.sdg.component.checkbox.SDGCheckBoxPreView,SDGCheckBoxPreView,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.document.SDGSimpleDocument,SDGSimpleDocument,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.document.PrevSDGSimpleDocument,PrevSDGSimpleDocument,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.dropdown.SDGBasicDropdown,SDGBasicDropdown,1,1,1,0,0,0,1,0,3,1,
com.shopl.sdg.component.dropdown.SDGBasicDropdown,SDGBasicDropdown,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.component.dropdown.SDGDropdownPreview,SDGDropdownPreview,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.empty_icon.SDGBasicEmpty,SDGBasicEmpty,1,1,1,0,0,0,0,0,1,2,
com.shopl.sdg.component.empty_icon.SDGBasicEmpty,SDGBasicEmpty,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.empty_icon.PrevEmpty,PrevEmpty,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.icon_text.SDGIconListItem,SDGIconListItem,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.icon_text.PrevIOIconListItem,PrevIOIconListItem,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.progress.SDGSystemProgress,SDGSystemProgress,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.progress.SDGSystemProgressPopup,SDGSystemProgressPopup,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.progress.PrevSDGProgress,PrevSDGProgress,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.component.radio.SDGRadio,SDGRadio,1,1,1,0,0,0,1,0,2,3,
com.shopl.sdg.component.radio.IORadioPreview,IORadioPreview,1,1,1,0,0,0,0,0,1,2,
com.shopl.sdg.component.search_bar.SDGBasicBoxSearch,SDGBasicBoxSearch,1,1,1,0,0,0,1,0,2,2,
com.shopl.sdg.component.search_bar.SDGBasicRoundSearch,SDGBasicRoundSearch,1,1,1,0,0,0,1,0,2,6,
com.shopl.sdg.component.search_bar.SDGBasicRoundSearch,SDGBasicRoundSearch,1,1,1,0,0,0,1,0,2,6,
com.shopl.sdg.component.search_bar.SDGBasicRoundSearch,SDGBasicRoundSearch,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.component.search_bar.SDGBasicRoundSearch,SDGBasicRoundSearch,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.component.search_bar.PrevSearch,PrevSearch,1,1,1,0,0,0,0,0,1,2,
